feature	avg
ID_VAL	0.045399861977177346
BugsDelivered	0.03604017897001889
DifficultyLevel	0.13002256256392364
DistinctOperands	0.058051821377881986
DistinctOperators	0.03538783341360395
Effort	0.15965547530776203
ProgramLength	0.04559514424430907
ProgramLevel	0.008300508564551709
ProgramVolume	0.039166003170407124
TimeToImplement	0.24802267502100972
TotalOperators	0.04064423985166615
Total_Operands	0.08454591921147422
VocabularySize	0.03172279770939064
Sloc	0.24324952559222393
DecisionPoint	0.1384924480555318
GlobalVariables	0.14626252848752747
If	0.1430840922046213
Loop	0.16202751154261658
Goto	0.398748708270025
Assignment	0.1807208300130927
ExitPoint	0.12929977905414386
Function.1	0.14978501616105797
FunctionCall	0.1148849223187611
PointerDereferencing	0.4538772667357895
CyclomaticComplexity	0.3061972665627364
SyntacticallyReachableFunctions	0.14193635602593563
SemanticallyReachedFunctions	0.1794405586690686
CoverageEstimation	0.0007768061613715985
SCALAR_INPUT	0.09790816472284043
RANGE_SCALAR_VALUES	0.06212082269634116
SCALAR_INDEX_INPUT	0.030691272180693296
RANGE_SCALAR_INDEX_VALUES	0.03695331699916219
ARRAY_INPUT	0.547369285109228
RANGE_ARRAY_INPUT	0.02030309459167898
cInstr	0.0440445670039243
Bugs_Delivered	0.037443526998784525
SS_VAL_1	0.09615944227299297
SV_VAL_1	0.002545946288755627
SV_VAL_2	0.019334056600001016
V_VAL_1	0.029673716291703373
V_VAL_2	0.01085023988565441
V_VAL_3	0.012954052566603803
V_VAL_4	0.028698283435244127
V_VAL_5	0.018515248514677656
V_VAL_6	0.009498151646339378
V_VAL_7	0.01389176656383873
V_VAL_8	0.005709263645877867
V_VAL_9	0.009954162070024211
V_VAL_10	0.020215212420309298
V_VAL_11	0.0029618579922602436
V_VAL_12	0.0010400219178345479
V_VAL_13	0.019064432694391446
V_VAL_14	0.0013520082575218932
V_VAL_15	0.002663933436712103
V_VAL_16	0.002691636094531497
V_VAL_17	0.0007743268788477138
V_VAL_18	0.0018667561631389815
V_VAL_19	0.0019972725268431507
V_VAL_20	0.0008881124598050241
V_VAL_21	0.015595503149403903
V_VAL_22	0.005877917377531713
V_VAL_23	0.001350676341624681
V_VAL_24	0.0007368543828607193
V_VAL_25	0.0005059790320989069
V_VAL_26	0.004517475427873303
V_VAL_27	0.0004923052691730879
V_VAL_28	0.0006207896700438531
M_VAL_1	0.13241703186150316
M_VAL_2	0.01312358046532614
M_VAL_3	0.014780402170694162
M_VAL_4	0.04613359992250361
M_VAL_5	0.010100925639172954
M_VAL_6	0.017927153401506322
M_VAL_7	0.012640345262627592
M_VAL_8	0.008694405347882694
M_VAL_9	0.027475625710465957
M_VAL_10	0.008722269727511061
M_VAL_11	0.075284547762225
M_VAL_12	0.013747088601348729
M_VAL_13	0.028510737129320247
M_VAL_14	0.018374847193146544
M_VAL_15	0.021222916743945417
M_VAL_16	0.006200916204553928
M_VAL_17	0.10386169532178897
M_VAL_18	0.014285514623464815
M_VAL_19	0.0420546035240985
M_VAL_20	0.012722717237283913
M_VAL_21	0.003779685683589018
M_VAL_22	0.004921723327259864
M_VAL_23	0.008829096703628277
M_VAL_24	0.01181045604552524
M_VAL_25	0.006227003663158604
M_VAL_26	0.0039015913433792355
M_VAL_27	0.005236898259817395
M_VAL_28	0.020369436251618085
M_VAL_29	0.0220309265083884
M_VAL_30	0.010449765576067582
M_VAL_31	0.00715479269348627
M_VAL_32	0.018237611278860123
