inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_64, 180, 30, 61, 22, 241, 52, 1373.81, 57137.84, 0.02, 41.59, 3174.32, 0.49
values_11, 189, 30, 67, 27, 256, 57, 1493.22, 55580.96, 0.03, 37.22, 3087.83, 0.49
values_49, 200, 30, 76, 35, 276, 65, 1662.17, 54139.37, 0.03, 32.57, 3007.74, 0.48
values_62, 202, 30, 76, 35, 278, 65, 1674.22, 54531.68, 0.03, 32.57, 3029.54, 0.48
values_80, 191, 30, 70, 30, 261, 60, 1541.70, 53959.45, 0.03, 35, 2997.75, 0.48
values_39, 181, 30, 61, 21, 242, 51, 1372.73, 59811.67, 0.02, 43.57, 3322.87, 0.51
values_90, 206, 30, 77, 38, 283, 68, 1722.75, 52362.59, 0.03, 30.39, 2909.03, 0.47
values_53, 215, 30, 84, 41, 299, 71, 1838.77, 56508.68, 0.03, 30.73, 3139.37, 0.49
values_94, 199, 30, 73, 32, 272, 62, 1619.54, 55418.68, 0.03, 34.22, 3078.82, 0.48
values_7, 210, 30, 81, 38, 291, 68, 1771.45, 56639.84, 0.03, 31.97, 3146.66, 0.49
values_31, 190, 30, 66, 27, 256, 57, 1493.22, 54751.39, 0.03, 36.67, 3041.74, 0.48
values_93, 208, 30, 79, 38, 287, 68, 1747.10, 54481.99, 0.03, 31.18, 3026.78, 0.48
values_38, 205, 30, 76, 33, 281, 63, 1679.62, 58023.09, 0.03, 34.55, 3223.50, 0.50
values_58, 179, 30, 60, 21, 239, 51, 1355.71, 58101.84, 0.02, 42.86, 3227.88, 0.50
values_78, 190, 30, 67, 28, 257, 58, 1505.50, 54036.74, 0.03, 35.89, 3002.04, 0.48
values_50, 191, 30, 69, 29, 260, 59, 1529.49, 54586.87, 0.03, 35.69, 3032.60, 0.48
values_3, 197, 30, 72, 32, 269, 62, 1601.68, 54056.66, 0.03, 33.75, 3003.15, 0.48
values_13, 208, 30, 80, 38, 288, 68, 1753.19, 55363.87, 0.03, 31.58, 3075.77, 0.48
values_83, 195, 30, 71, 30, 266, 60, 1571.23, 55778.77, 0.03, 35.50, 3098.82, 0.49
values_1, 180, 30, 61, 22, 241, 52, 1373.81, 57137.84, 0.02, 41.59, 3174.32, 0.49
values_21, 210, 30, 84, 44, 294, 74, 1825.58, 52277.95, 0.03, 28.64, 2904.33, 0.47
values_32, 190, 30, 68, 29, 258, 59, 1517.72, 53381.94, 0.03, 35.17, 2965.66, 0.47
values_22, 201, 30, 76, 37, 277, 67, 1680.31, 51771.61, 0.03, 30.81, 2876.20, 0.46
values_9, 203, 30, 77, 37, 280, 67, 1698.50, 53020.90, 0.03, 31.22, 2945.61, 0.47
