inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_94, 178, 28, 66, 29, 244, 57, 1423.23, 45346.90, 0.03, 31.86, 2519.27, 0.42
values_7, 162, 28, 55, 22, 217, 50, 1224.72, 42865.09, 0.03, 35, 2381.39, 0.41
values_31, 169, 28, 59, 24, 228, 52, 1299.70, 44731.35, 0.03, 34.42, 2485.08, 0.42
values_93, 183, 28, 71, 33, 254, 61, 1506.41, 45374.81, 0.03, 30.12, 2520.82, 0.42
values_38, 180, 28, 67, 31, 247, 59, 1453.01, 43965.36, 0.03, 30.26, 2442.52, 0.42
values_58, 154, 28, 50, 16, 204, 44, 1113.72, 48725.43, 0.02, 43.75, 2706.97, 0.44
values_78, 164, 28, 56, 23, 220, 51, 1247.93, 42538.26, 0.03, 34.09, 2363.24, 0.41
values_50, 170, 28, 62, 29, 232, 57, 1353.23, 40503.59, 0.03, 29.93, 2250.20, 0.39
values_3, 161, 28, 56, 23, 217, 51, 1230.92, 41958.19, 0.03, 34.09, 2331.01, 0.40
values_13, 182, 28, 67, 33, 249, 61, 1476.75, 41975.60, 0.04, 28.42, 2331.98, 0.40
values_83, 160, 28, 54, 21, 214, 49, 1201.55, 43255.72, 0.03, 36, 2403.10, 0.41
values_1, 172, 28, 61, 27, 233, 55, 1347.06, 42606.91, 0.03, 31.63, 2367.05, 0.41
values_21, 180, 28, 66, 32, 246, 60, 1453.10, 41958.12, 0.03, 28.88, 2331.01, 0.40
values_32, 166, 28, 56, 23, 222, 51, 1259.28, 42924.97, 0.03, 34.09, 2384.72, 0.41
values_22, 157, 28, 52, 19, 209, 47, 1160.91, 44481.15, 0.03, 38.32, 2471.17, 0.42
values_9, 170, 28, 61, 26, 231, 54, 1329.38, 43664.99, 0.03, 32.85, 2425.83, 0.41
values_6, 176, 28, 64, 31, 240, 59, 1411.83, 40806.57, 0.03, 28.90, 2267.03, 0.40
values_76, 169, 28, 59, 25, 228, 53, 1305.97, 43149.11, 0.03, 33.04, 2397.17, 0.41
values_18, 180, 28, 68, 33, 248, 61, 1470.82, 42431.01, 0.03, 28.85, 2357.28, 0.41
values_16, 160, 28, 54, 20, 214, 48, 1195.18, 45177.88, 0.03, 37.80, 2509.88, 0.42
values_40, 178, 28, 65, 30, 243, 58, 1423.49, 43179.18, 0.03, 30.33, 2398.84, 0.41
values_2, 185, 28, 69, 35, 254, 63, 1518.23, 41903.12, 0.04, 27.60, 2327.95, 0.40
values_60, 182, 28, 70, 36, 252, 64, 1512, 41160, 0.04, 27.22, 2286.67, 0.40
values_99, 161, 28, 54, 21, 215, 49, 1207.16, 43457.85, 0.03, 36, 2414.33, 0.41
values_48, 178, 28, 68, 33, 246, 61, 1458.96, 42088.83, 0.03, 28.85, 2338.27, 0.40
values_69, 164, 28, 58, 25, 222, 53, 1271.60, 41301.51, 0.03, 32.48, 2294.53, 0.40
values_46, 185, 28, 68, 31, 253, 59, 1488.31, 45705.48, 0.03, 30.71, 2539.19, 0.43
values_24, 159, 28, 53, 20, 212, 48, 1184.01, 43926.85, 0.03, 37.10, 2440.38, 0.41
values_95, 184, 28, 69, 36, 253, 64, 1518, 40733, 0.04, 26.83, 2262.94, 0.39
values_42, 185, 28, 68, 31, 253, 59, 1488.31, 45705.48, 0.03, 30.71, 2539.19, 0.43
values_37, 182, 28, 70, 34, 252, 62, 1500.46, 43248.48, 0.03, 28.82, 2402.69, 0.41
values_10, 164, 28, 56, 22, 220, 50, 1241.65, 44247.83, 0.03, 35.64, 2458.21, 0.42
values_67, 165, 28, 56, 23, 221, 51, 1253.61, 42731.61, 0.03, 34.09, 2373.98, 0.41
values_35, 156, 28, 51, 18, 207, 46, 1143.38, 45353.97, 0.03, 39.67, 2519.66, 0.42
values_30, 184, 28, 67, 31, 251, 59, 1476.54, 44677.35, 0.03, 30.26, 2482.07, 0.42
values_4, 178, 28, 65, 31, 243, 59, 1429.48, 41962.22, 0.03, 29.35, 2331.23, 0.40
